153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
153,153,150,153,153,153,151,153,153,153,153,153,153,150,153,153,153,153,153,150,153,153,153,153,153,153,153,153,153,150,153,153
153,153,153,153,153,153,152,153,150,150,153,153,153,153,153,153,153,150,153,153,153,153,153,153,153,153,153,150,153,153,153,153
158,158,153,153,150,153,153,158,153,153,153,153,153,153,158,153,156,153,153,153,153,150,153,153,158,153,153,153,150,153,153,153
0,0,0,155,156,158,154,0,0,0,155,158,156,154,0,0,0,0,155,158,156,158,154,0,0,0,155,158,156,154,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,122,122
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,17,16,16,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,12,12,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,133,134
96,108,96,96,96,96,96,108,96,96,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,135
0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,127,0,0,0
0,147,144,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,128,0,0,0
0,145,146,0,26,27,0,0,31,0,82,83,84,0,0,0,176,177,178,0,0,0,0,0,0,0,215,0,129,0,25,0
1,1,1,1,1,1,1,13,28,0,85,89,86,0,0,0,177,180,177,0,0,0,0,0,0,29,215,0,7,1,1,1
20,16,16,118,118,118,16,16,1,1,1,1,13,0,0,0,177,182,177,0,0,0,0,0,0,28,7,1,16,16,16,16
17,16,16,16,16,16,16,16,16,16,16,16,14,0,30,0,179,182,179,0,0,0,0,0,7,1,16,17,17,17,17,17
16,16,16,16,16,16,16,16,16,16,16,16,16,13,28,24,0,182,0,0,0,140,0,7,16,16,17,17,17,17,17,16
16,17,17,17,17,17,17,17,17,17,17,16,16,16,1,1,185,186,187,27,26,141,7,17,16,211,17,18,17,0,0,0
17,18,18,18,18,18,18,18,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,136,136,136,136
17,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,137,137,137,137,137
